property_type,place_with_parent_names,region,lat-lon,area_m2,price_usd
apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,"-12.993493,-38.477962",71,106097.48
apartment,|Brasil|Bahia|Salvador|Candeal|,Northeast,,63,106097.48
apartment,|Brasil|Bahia|Salvador|Ondina|,Northeast,"-13.004092,-38.5047",55,140423.14
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",98,174748.79
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",127,180989.82
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-13.000443,-38.45739",235,165387.25
apartment,|Brasil|Bahia|Salvador|Caminho das Árvores|,Northeast,"-12.985207,-38.456074",195,452474.56
apartment,|Brasil|Bahia|Salvador|Campo Grande|,Northeast,"-12.993533,-38.526047",170,202833.42
apartment,|Brasil|Bahia|Salvador|Itaigara|,Northeast,"-12.991933,-38.465279",95,187230.85
apartment,|Brasil|Bahia|Salvador|Campo Grande|,Northeast,"-12.993533,-38.526047",230,405666.85
apartment,|Brasil|Bahia|Salvador|Canela|,Northeast,"-12.992102,-38.521461",185,212194.96
apartment,|Brasil|Bahia|Salvador|Jardim Apipema|,Northeast,"-13.00525,-38.516327",90,184110.34
apartment,|Brasil|Bahia|Salvador|Stiep|,Northeast,"-12.983234,-38.443928",75,131061.59
apartment,|Brasil|Bahia|Salvador|,Northeast,"-12.998506,-38.52309",166,187230.85
apartment,|Brasil|Bahia|Salvador|Canela|,Northeast,"-12.992472,-38.52298",100,227797.54
